Название,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Программирование в Unreal Engine 5 для начинающего игродела. Основы визуального языка Blueprint,"Максименкова Ольга Вениаминовна, Веселко Никита И.",Бомбора:Российский компьютерный бестселлер,1862,2551,27,На складе
C# 10 и .NET 6. Современная кросс-платформенная разработка,Прайс Марк Дж.,Питер:Для профессионалов,4808,6164,22,На складе
Computer Science для программиста-самоучки. Все что нужно знать о структурах данных и алгоритмах,Альтхофф Кори,Питер:Библиотека программиста,1412,1810,22,На складе
Непрерывное развитие API. Правильные решения в изменчивом технологическом ландшафте,Меджуи Мехди и др.,Питер:Бестселлеры O`Reilly,3795,4865,22,На складе
Head First. Изучаем Swift,"Мэннинг Джон, Баттфилд-Эддисон Пэрис",Питер:Head First (O'Reilly),2807,3599,22,На складе
Kubernetes изнутри,"Вьяс Джей, Лав Крис",ДМК-Пресс,2094,4187,50,На складе
С++ 20 в деталях,Райнер Гримм,ДМК-Пресс,2513,5026,50,На складе
"Математические алгоритмы для программистов. 3D-графика, машинное обучение и моделирование на Python",Орланд Пол,Питер:Библиотека программиста,3475,4455,22,На складе
Pandas в действии,Пасхавер Борис,Питер:Библиотека программиста,2738,3510,22,На складе
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3093,Цена без скидки не указана,Скидка отсутствует,На складе
Цифровая обработка изображений в OpenCv. Практикум. Учебное пособие,Матвеев Александр Иванович,Лань:Компьютеры и программное обеспечение,1237,Цена без скидки не указана,Скидка отсутствует,Ограничено
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3093,Цена без скидки не указана,Скидка отсутствует,Ограничено
Алгоритмы и программы. Язык С++. Учебное пособие,"Конова Елена Александровна, Поллак Галина Андреевна",Лань:Учебники для вузов. Специальная литература,3064,Цена без скидки не указана,Скидка отсутствует,На складе
Не заставляйте меня думать. Веб-юзабилити и здравый смысл,Круг Стив,Эксмо-Пресс:Мировой компьютерный бестселлер,856,1172,27,На складе
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1257,2513,50,На складе
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1386,2772,50,На складе
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1304,2607,50,Ограничено
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,558,1115,50,На складе
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,777,1064,27,На складе
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1326,2652,50,На складе
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,977,1953,50,На складе
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,907,1813,50,На складе
Разработка обслуживаемых программ на языке Java,Виссер Джуст,ДМК-Пресс,907,1813,50,На складе
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",2062,4123,50,Ограничено
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1535,3069,50,На складе
Инженерия требований,Халл Элизабет и др.,ДМК-Пресс,1257,2513,50,На складе
Программирование PIC - микроконтроллеров на PicBasic,Хелибайк Чак,Додека XXI век:Программируемые системы,628,1256,50,На складе
Введение в современные САПР. Курс лекций,Малюх Владимир Николаевич,ДМК-Пресс:САПР от А до Я,488,976,50,Ограничено
Функциональное программирование на F#,Сошников Дмитрий Валерьевич,ДМК-Пресс,768,1536,50,На складе
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ,Дьюхэрст Стефан К.,ДМК-Пресс:Профессиональная серия от Addison-Wesley,768,1536,50,На складе
Программируем микрокомпьютер NXT в LabVIEW,"Белиовская Лидия Георгиевна, Белиовский Александр Евгеньевич",ДМК-Пресс:Все о LabVIEW,468,936,50,На складе
Dart в действии,Баккет Крис,ДМК-Пресс,1465,2930,50,На складе
MATLAB. Полный самоучитель,Дьяконов Владимир Павлович,ДМК-Пресс,2094,4187,50,Ограничено
