Название,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
СУБД для программиста. Базы данных изнутри,Тарасов Сергей Витальевич,Солон-пресс:Библиотека профессионала,1606,3212,50,На складе
Объектно-ориентированное программирование в С++,Лафоре Роберт,Питер:Классика computer science,2539,3255,22,На складе
Язык программирования C++. Базовый курс,Липпман Стенли Б. и др.,Вильямс,4749,9498,50,Ограничено
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1117,2233,50,На складе
Программирование. Принципы и практика с использованием C++,Страуструп Бьярне,Вильямс,5376,10752,50,На складе
Создаем нейронную сеть,Рашид Тарик,Вильямс,2689,5378,50,Ограничено
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1257,2513,50,На складе
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,977,1953,50,Ограничено
Шаблоны корпоративных приложений,Фаулер Мартин,Диалектика: ,4033,8066,50,На складе
Raspberry Pi. Сборник рецептов. Решение программных и аппаратных задач,Монк Саймон,Диалектика,2689,5378,50,Ограничено
JavaScript в примерах и задачах,,Эксмо-Пресс:Российский компьютерный бестселлер,1062,1455,27,На складе
Visual C# 2.0.NET. Полное руководство,"Прайс Дебора, Гандэрлой Майк",Корона-Принт: ,517,1033,50,На складе
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем,Эванс Эрик,Вильямс,5376,10752,50,На складе
Язык программирования C++. Лекции и упражнения,Прата Стивен,Диалектика,5376,10752,50,На складе
C++ для чайников,Дэвис Стефан Рэнди,"Диалектика:Для ""чайников""",1344,2688,50,На складе
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,2689,5378,50,На складе
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,3405,6810,50,На складе
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,1590,2178,27,На складе
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL,"Редмонд Эрик, Уилсон Джим Р.",ДМК-Пресс,1257,2513,50,На складе
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,1415,1814,22,На складе
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1605,3209,50,На складе
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,2241,4482,50,На складе
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,1326,2652,50,На складе
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем,Карташов Борис Александрович и др.,ДМК-Пресс,1675,3349,50,На складе
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,2689,5378,50,На складе
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2062,4123,50,Ограничено
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,3071,6141,50,На складе
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,1186,2372,50,На складе
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1117,1530,27,На складе
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2165,2966,27,На складе
Предметно-ориентированное проектирование. Самое основное,Вернон Вон,Диалектика,2062,4123,50,На складе
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,977,1953,50,На складе
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,907,1813,50,На складе
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс,769,1537,50,На складе
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,2233,4466,50,На складе
Проектирование пользовательского интерфейса в Android,Клифтон Ян,ДМК-Пресс,1397,2793,50,На складе
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,6720,13440,50,На складе
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,4749,9498,50,На складе
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,628,1256,50,На складе
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань:Учебники для вузов. Специальная литература,919,Цена без скидки не указана,Скидка отсутствует,На складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,5589,Цена без скидки не указана,Скидка отсутствует,На складе
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1257,2513,50,Ограничено
C++ для инженерных и научных расчетов,Готтшинг Питер,Вильямс,1344,2688,50,Ограничено
Введение в глубокое обучение,Черняк Евгений,Вильямс,1076,2152,50,Ограничено
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),880,1206,27,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,412,823,50,На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,504,1008,50,Ограничено
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2937,5874,50,Ограничено
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1257,2513,50,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,2792,5583,50,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1397,2793,50,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1814,3628,50,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1841,2360,22,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1076,2152,50,Ограничено
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,4033,8066,50,Ограничено
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,3405,6810,50,На складе
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1772,2427,27,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2233,4466,50,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1535,3069,50,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,1814,3628,50,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,2404,Цена без скидки не указана,Скидка отсутствует,На складе
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,1047,2093,50,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1257,2513,50,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1667,2137,22,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,4033,8066,50,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,3405,6810,50,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,1814,3628,50,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,559,1118,50,На складе
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,2233,4466,50,На складе
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2178,4355,50,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,888,1775,50,Ограничено
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,4272,Цена без скидки не указана,Скидка отсутствует,На складе
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,1769,Цена без скидки не указана,Скидка отсутствует,Ограничено
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,1344,2688,50,На складе
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,1814,3628,50,На складе
ELIXIR в действии,Юрич Саша,ДМК-Пресс,1675,3349,50,На складе
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1397,2793,50,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,1748,3495,50,На складе
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1818,2491,27,На складе
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1675,3349,50,На складе
Состязательные сети. Проекты,Ахирвар Кайлаш,ДМК-Пресс,1257,2513,50,На складе
Основы программирования на языке С. Учебное пособие,"Дорогов Виктор Георгиевич, Дорогова Екатерина Георгиевна",Форум:Среднее профессиональное образование,1351,2702,50,На складе
Программирование на языке Си. Учебное пособие,"Кузин Александр Владимирович, Чумакова Екатерина Витальевна",Форум:Среднее профессиональное образование,1197,2393,50,Ограничено
Разработка мобильных приложений на C# для iOS и Android,Черников Вячеслав,ДМК-Пресс,1117,2233,50,На складе
C. Полное руководство. Классическое издание,Шилдт Герберт,Диалектика,4033,8066,50,На складе
NGINX. Книга рецептов. Продвинутые рецепты высокопроизводительной   балансировки нагрузки,Де Йонге Дерек,ДМК-Пресс,1117,2233,50,На складе
Как стать хакером,Притяну Эдриан,ДМК-Пресс,1397,2793,50,На складе
Шаблоны проектирования для облачной среды,Дэвис Корнелия,ДМК-Пресс,1814,3628,50,На складе
SQL для чайников,Тейлор Аллен Дж.,"Диалектика:Для ""чайников""",1614,3227,50,На складе
Введение в архитектуру программного обеспечения. Учебное пособие,Гагарина Лариса Геннадьевна и др.,Форум:Среднее профессиональное образование,1976,3952,50,На складе
Архитекторы интеллекта. Вся правда об искусственном интеллекте от его создателей,Форд Мартин,Питер:Библиотека программиста,1248,1600,22,На складе
Глубокое обучение и игра в го,"Памперла Макс, Фергюсон Кевин",ДМК-Пресс,1814,3628,50,На складе
Квантовые вычисления для настоящих айтишников,Бернхард Крис,Питер:Библиотека программиста,1217,1560,22,На складе
1400 задач по программированию,Златопольский Дмитрий Михайлович,ДМК-Пресс,558,1115,50,На складе
Бессерверные приложения на JavaScipt,"Стоянович Слободан, Симович Александар",ДМК-Пресс,1605,3209,50,На складе
Head First. Kotlin,"Гриффитс Дэвид, Гриффитс Дон",Питер:Head First (O'Reilly),3120,4000,22,На складе
Программирование в среде Delphi. Создание проектов. Учебное пособие,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,459,Цена без скидки не указана,Скидка отсутствует,Ограничено
Программирование в среде Delphi. Основные команды. Первые проекты,Саблукова Наталья Геннадьевна,Лань:Учебники для вузов. Специальная литература,744,Цена без скидки не указана,Скидка отсутствует,На складе
Основы алгоритмизации и программирования на языке Microsoft Visual Basic. Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Среднее профессиональное образование,2823,5645,50,На складе
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1323,1696,22,На складе
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс:Все о вейвлетах,1397,2793,50,На складе
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора:Мировой компьютерный бестселлер,1219,1670,27,На складе
Изучаем React,Чиннатамби Кирупа,Бомбора:Мировой компьютерный бестселлер,1407,1928,27,На складе
Изучение сложных систем с помощью Python,Дауни Аллен Б.,ДМК-Пресс,1048,2096,50,На складе
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер:Библиотека программиста,1925,2468,22,На складе
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1344,2688,50,На складе
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора:Мировой компьютерный бестселлер,880,1206,27,На складе
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,2653,5306,50,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1257,2513,50,На складе
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,3142,6283,50,На складе
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Высшее образование. Бакалавриат,1318,2635,50,Ограничено
Django 2 в примерах,Меле Антонио,ДМК-Пресс,1814,3628,50,На складе
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,2373,4746,50,На складе
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР:Высшее образование,901,1801,50,На складе
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М:Среднее профессиональное образование,877,1753,50,Ограничено
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум:Высшее образование,948,1896,50,На складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2062,4123,50,На складе
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1257,2513,50,На складе
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,1707,3414,50,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,1954,3908,50,На складе
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,3405,6810,50,На складе
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,986,1972,50,На складе
Искусство программирования. Том 3. Сортировка и поиск,Кнут Дональд Эрвин,Диалектика,4749,9498,50,Ограничено
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1344,2688,50,Ограничено
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,2030,4059,50,На складе
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1397,2793,50,На складе
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,209,417,50,На складе
Легкий способ выучить Java,Пейн Брайсон,Бомбора:Мировой компьютерный бестселлер,1062,1455,27,На складе
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс:Функциональное программирование,1397,2793,50,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,4033,8066,50,На складе
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1344,2688,50,Ограничено
Современные технологии программирования. Разработка Windows-приложений на языке С#. Учебник. Том 2,Горелов Сергей Витальевич,Прометей,874,1748,50,На складе
Компьютерное зрение. Теория и алгоритмы,Клетте Рейнхард,ДМК-Пресс,2932,5863,50,На складе
Java. Оптимизация программ. Практические методы повышения производительности приложений в JVM,Эванс Бенджамин и др.,Диалектика,3405,6810,50,Ограничено
CSS. Полный справочник. Визуальное форматирование веб-страниц,"Мейер Эрик, Уэйл Эстель",Диалектика,4749,9498,50,На складе
Искусство программирования на R. Погружение в большие данные,Мэтлофф Норман,Питер:Библиотека программиста,1497,1919,22,На складе
Алгоритмизация и программирование. Практикум. Учебное пособие,Андрианова Анастасия Александровна и др.,Лань:Учебники для вузов. Специальная литература,2382,Цена без скидки не указана,Скидка отсутствует,На складе
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие,Апанасевич Сергей Александрович,Лань:Учебники для вузов. Специальная литература,1857,Цена без скидки не указана,Скидка отсутствует,На складе
Самоучитель игры на Паскале. ABC и немного Турбо,Комлев Николай Юрьевич,Солон-пресс:Библиотека студента,740,1480,50,На складе
Алгоритмические трюки для программистов,Уоррен Генри С.,Диалектика,2689,5378,50,На складе
Unity и C#. Геймдев от идеи до реализации,Бонд Джереми Гибсон,Питер:Для профессионалов,3226,4136,22,На складе
PostgreSQL 11. Мастерство разработки,Шениг Ганс-Юрген,ДМК-Пресс,1885,3769,50,На складе
Разработка АСУТП в среде WinCC. Учебное пособие,"Иванов Виктор Эдуардович, Чье Ен Ун",Инфра-Инженерия,1311,2621,50,На складе
Автоматизация программируемых сетей,Эделман Джейсон и др.,ДМК-Пресс,2094,4187,50,На складе
"Разработка бизнес-приложений на платформе ""1С:Предприятие"". Учебное пособие",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Бакалавриат,1882,3764,50,Ограничено
Базовые средства программирования на Visual Basic в среде VisualStudio .NET. Учебное пособие,Шакин Виктор Николаевич,Форум:Среднее профессиональное образование,1707,3414,50,На складе
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие,Федотов Александр Александрович,Лань:Учебники для вузов. Специальная литература,919,Цена без скидки не указана,Скидка отсутствует,На складе
"Изучаем HTML, XHTML и CSS","Робсон Элизабет, Фримен Эрик",Питер:Head First (O'Reilly),2745,3519,22,На складе
Изучаем pandas,"Хейдт Майкл, Груздев Артем Владимирович",ДМК-Пресс,2653,5306,50,На складе
Умные мобильные проекты с TensorFlow,Танг Джефф,ДМК-Пресс:Машинное обучение,1397,2793,50,На складе
Алгоритмы на Java,"Седжвик Роберт, Уэйн Кевин",Вильямс,5376,10752,50,На складе
C++. Полное руководство. Классическое издание,Шилдт Герберт,Вильямс,4033,8066,50,На складе
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,5376,10752,50,На складе
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,2689,5378,50,На складе
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,3405,6810,50,Ограничено
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1439,2877,50,На складе
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер:Для профессионалов,1705,2186,22,На складе
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,1814,3628,50,На складе
Совершенный алгоритм. Основы,Рафгарден Тим,Питер:Библиотека программиста,1349,1730,22,На складе
Коды с суммированием для систем технического диагностирования. В 2-х томах,Сапожников Валерий Владимирович и др.,Наука,1062,2123,50,На складе
Основы тестирования программного обеспечения. Учебное пособие для СПО,Старолетов Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2864,Цена без скидки не указана,Скидка отсутствует,На складе
"Гид по Computer Science, расширенное издание",Спрингер Вильям,Питер:Библиотека программиста,1185,1519,22,На складе
Как работают компьютерные сети и интернет,Северанс Чарльз Р.,ДМК-Пресс,907,1813,50,На складе
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow,"Ханнес Хапке, Нельсон Кэтрин",ДМК-Пресс,1465,2930,50,На складе
"SQL для хранения, обработки и анализа данных","Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич",Солон-пресс:Библиотека студента,545,1090,50,Ограничено
Технология программирования. Проектирование. Комплексное тестирование. Программная документация,Иванова Галина Сергеевна,Кнорус:Бакалавриат,1016,2032,50,Ограничено
"Безопасность веб-приложений. Разведка, защита, нападение",Хоффман Эндрю,Питер:Бестселлеры O`Reilly,2521,3232,22,На складе
Распределенные данные. Алгоритмы работы современных систем хранения информации,Петров Алекс,Питер:Бестселлеры O`Reilly,2731,3501,22,На складе
Безопасно by Design,Берг Джонсон Дэн и др.,Питер:Библиотека программиста,2213,2837,22,На складе
Пакет прикладных программ. Учебное пособие,Шитов Виктор Николаевич,ИНФРА-М:Среднее профессиональное образование,1680,3360,50,На складе
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor,Лянг Виктор Федорович,ИНФРА-М:Высшее образование. Бакалавриат,1331,2662,50,На складе
Искусство тестирования на проникновение в сеть,Дэвис Ройс,ДМК-Пресс,1535,3069,50,На складе
Построение пользовательских интерфейсов,Малышев Кирилл Викторович,ДМК-Пресс,1535,3069,50,На складе
Data Science для карьериста,"Нолис Жаклин, Робинсон Эмили",Питер:Библиотека программиста,2459,3152,22,На складе
"Экстремальный Cи. Параллелизм, ООП и продвинутые возможности",Амини Камран,Питер:Для профессионалов,3105,3981,22,На складе
Программная инженерия. Учебное пособие,Маран Михкель Михкелевич,Лань:Учебники для вузов. Специальная литература,2966,Цена без скидки не указана,Скидка отсутствует,Ограничено
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,597,1193,50,На складе
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1397,2793,50,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,2094,4187,50,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2373,4746,50,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2373,4746,50,На складе
C#. Алгоритмы и структуры данных. Учебное пособие для вузов,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,5183,Цена без скидки не указана,Скидка отсутствует,На складе
"Python, например",Лейси Никола,Питер:Библиотека программиста,1589,2037,22,На складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2689,5378,50,Ограничено
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1047,2093,50,На складе
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,2277,Цена без скидки не указана,Скидка отсутствует,На складе
C#. Основы программирования (+CD). Учебное пособие для СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,3345,Цена без скидки не указана,Скидка отсутствует,На складе
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,3545,4545,22,На складе
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,837,1674,50,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,698,1395,50,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,2513,5026,50,На складе
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,189,343,45,На складе
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2373,4746,50,На складе
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос:Учебники и учебные пособия для студентов вузов,1756,3512,50,На складе
ВОСХОД программиста,Земцов А. Н.,Деловой двор:Хочу в СССР,673,1224,45,На складе
JavaScript с нуля,Чиннатамби Кирупа,Питер:Библиотека программиста,1545,1981,22,На складе
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,1404,1800,22,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,3440,Цена без скидки не указана,Скидка отсутствует,Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,3279,Цена без скидки не указана,Скидка отсутствует,На складе
Программирование. Сборник задач. Учебное пособие для СПО,Маран Михкель Михкелевич и др.,Лань:Компьютеры и программное обеспечение,2025,Цена без скидки не указана,Скидка отсутствует,Ограничено
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,1864,Цена без скидки не указана,Скидка отсутствует,Ограничено
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1814,3628,50,На складе
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань:Компьютеры и программное обеспечение,1352,Цена без скидки не указана,Скидка отсутствует,На складе
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,2628,Цена без скидки не указана,Скидка отсутствует,Ограничено
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5376,10752,50,Ограничено
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер:Бестселлеры O`Reilly,2325,2981,22,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,2127,Цена без скидки не указана,Скидка отсутствует,На складе
