Название,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Новые возможности JavaScript. Как написать чистый код по всем правилам современного языка,Краудер Ти Джей,Бомбора:Мировой компьютерный бестселлер,1772,2427,27,На складе
JavaScript. Креативное программирование. Учебное пособие для вузов,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,3013,Цена без скидки не указана,Скидка отсутствует,Ограничено
JavaScript. Креативное программирование. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,2621,Цена без скидки не указана,Скидка отсутствует,Ограничено
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1352,Цена без скидки не указана,Скидка отсутствует,На складе
Программирование. Лабораторный практикум. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,1175,Цена без скидки не указана,Скидка отсутствует,На складе
Программирование. Основы Python для инженеров. Учебное пособие для вузов,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1592,Цена без скидки не указана,Скидка отсутствует,Ограничено
Программирование. Основы Python. Учебное пособие для СПО,"Никитина Татьяна Павловна, Королев Леонид Владимирович",Лань:Компьютеры и программное обеспечение,1386,Цена без скидки не указана,Скидка отсутствует,Ограничено
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие,"Букунов Сергей Витальевич, Букунова Ольга Викторовна",Лань:Компьютеры и программное обеспечение,808,Цена без скидки не указана,Скидка отсутствует,Ограничено
Создание микросервисов,Ньюмен Сэм,Питер:Бестселлеры O`Reilly,3050,3910,22,На складе
Усовершенствованные структуры данных,Брасс Петер,ДМК-Пресс,3071,5583,45,На складе
Рекурсивная книга о рекурсии,Свейгарт Эл,Питер:Библиотека программиста,2268,2908,22,На складе
MySQL по максимуму,"Ботрос Сильвия, Тинли Джереми",Питер:Бестселлеры O`Reilly,2921,3745,22,На складе
